Unique bug id,Unique bug name,Occurence,Source,Commit/Bugzilla ID,Year,First appearance,Security impacts,Specific cause,,,,
b-10,UB signed int overflow,15(gcc) 2(llvm),gcc,79025,2017,2007,hang,No-UB assumption,,,,
b-10,UB signed int overflow,15(gcc) 2(llvm),gcc,98159,2020,2007,hang,No-UB assumption,,,,
b-10,UB signed int overflow,15(gcc) 2(llvm),gcc,37569,2008,2007,hang,No-UB assumption,,,,
b-10,UB signed int overflow,15(gcc) 2(llvm),gcc,45884,2010,2007,hang,No-UB assumption,,,,
b-10,UB signed int overflow,15(gcc) 2(llvm),gcc,98250,2020,2007,hang,No-UB assumption,,,,
b-10,UB signed int overflow,15(gcc) 2(llvm),gcc,91232,2019,2007,hang,No-UB assumption,,,,
b-11,UB OOB->check removal,3(gcc),gcc,59933,2014,2013,hang,No-UB assumption,,,,
b-11,UB OOB->check removal,3(gcc),gcc,59982,2014,2013,hang,No-UB assumption,,,,
b-11,UB OOB->check removal,3(gcc),gcc,59017,2013,2013,hang,No-UB assumption,,,,
b-12,UB data race->check removal,1(llvm),llvm,16976 (original 16602),2013,2013,hang,No-UB assumption,,bugzilla,clang:codegen,invalid
b-5,UB ptr sub to 0 assumption,2(gcc) 1(llvm),llvm,17118 (original 16744),2013,2013,crash,No-UB assumption,,bugzilla,clang,invalid
b-5,UB ptr sub to 0 assumption,2(gcc) 1(llvm),gcc,90535,2019,2013,crash,No-UB assumption,,,,
b-5,UB ptr sub to 0 assumption,2(gcc) 1(llvm),gcc,99235,2021,2013,crash,No-UB assumption,,,,
l-2,UB modify const var,2(linux),linux,12051b318bc3ce5b42d6d786191008284b067d83,2019,2009,crash,No-UB assumption,,,,
l-2,UB modify const var,2(linux),linux,464e86b4abadfc490f426954b431e2ec6a9d7bd2,2020,2009,crash,No-UB assumption,,,,
b-6,UB modify const var,1(gcc) 1(llvm),gcc,86092,2018,2009,crash,No-UB assumption,,,,
b-6,UB modify const var,1(gcc) 1(llvm),llvm,42108 (original 42763),2019,2009,crash,No-UB assumption,,,,
b-16,UB violate strict aliasing->init removal,5(gcc) 2(llvm),gcc,74751,2016,2009,crash,No-UB assumption,,,,
b-16,UB violate strict aliasing->init removal,5(gcc) 2(llvm),gcc,39504,2009,2009,crash,No-UB assumption,,,,
b-16,UB violate strict aliasing->init removal,5(gcc) 2(llvm),gcc,86947,2018,2009,crash,No-UB assumption,,,,
b-16,UB violate strict aliasing->init removal,5(gcc) 2(llvm),gcc,110530,2023,2009,crash,No-UB assumption,,,,
b-16,UB violate strict aliasing->init removal,5(gcc) 2(llvm),gcc,112409,2023,2009,crash,No-UB assumption,,,,
b-16,UB violate strict aliasing->init removal,5(gcc) 2(llvm),llvm,26269 (original 25895),2015,2009,crash,No-UB assumption,,,,
b-16,UB violate strict aliasing->init removal,5(gcc) 2(llvm),llvm,78154,2024,2009,crash,No-UB assumption,,,,
b-20,UB dma data race,1(gcc),gcc,33949,2007,2007,crash,No-UB assumption,,,,
b-4,UB ptr-no-wrap assumption,1(linux) 1(gcc) 1(llvm),linux,7329a655875a2f4bd6984fe8a7e00a6981e802f3,2016,2015,crash,No-UB assumption,,,,
b-4,UB ptr-no-wrap assumption,1(linux) 1(gcc) 1(llvm),gcc,66090,2015,2015,crash,No-UB assumption,,,,
b-4,UB ptr-no-wrap assumption,1(linux) 1(gcc) 1(llvm),llvm,50752 (original 51410),2021,2015,crash,No-UB assumption,,bugzilla,c,invalid
b-13,UB violate strict aliasing,1(linux) 7(gcc),gcc,29967,2006,2004,crash,No-UB assumption,,,,
b-13,UB violate strict aliasing,1(linux) 7(gcc),gcc,18723,2004,2004,crash,No-UB assumption,,,,
b-13,UB violate strict aliasing,1(linux) 7(gcc),gcc,112442,2023,2004,crash,No-UB assumption,,,,
b-13,UB violate strict aliasing,1(linux) 7(gcc),linux,7ded842b356d151ece8ac4985940438e6d3998bb,2024,2024,crash,No-UB assumption,,,,
b-13,UB violate strict aliasing,1(linux) 7(gcc),gcc,90267,2019,2004,crash,No-UB assumption,,,,
b-13,UB violate strict aliasing,1(linux) 7(gcc),gcc,102279,2021,2004,crash,No-UB assumption,,,,
b-13,UB violate strict aliasing,1(linux) 7(gcc),gcc,37096,2008,2004,crash,No-UB assumption,,,,
b-13,UB violate strict aliasing,1(linux) 7(gcc),gcc,33374,2007,2004,crash,No-UB assumption,,,,
l-5,UB data race,4(linux),linux,63a8dfb889112ab4a065aa60a9a1b590b410d055,2024,2008,crash,No-UB assumption,,,,
l-5,UB data race,4(linux),linux,71f8a4b81d040b3d094424197ca2f1bf811b1245,2015,2008,crash,No-UB assumption,,,,
l-5,UB data race,4(linux),linux,af6d596fd603219b054c1c90fb16672a9fd441bd,2008,2008,crash,No-UB assumption,,,,
l-5,UB data race,4(linux),linux,f4519fd9375d310c608f9a47e4f3a0579bc94998,2019,2008,crash,No-UB assumption,,,,
l-40,UB reorder breaks code's atomicity,1(linux),linux,dc5d17a3c39b06aef866afca19245a9cfb533a79,2021,2021,crash,No-UB assumption,,,,
b-26,UB violate strict aliasing->unaligned access,5(gcc) 1(llvm),gcc,27299,2006,2006,crash,No-UB assumption,,,,
b-26,UB violate strict aliasing->unaligned access,5(gcc) 1(llvm),llvm,33490 (original 34143),2017,2006,crash,No-UB assumption,,bugzilla,clang:codegen,invalid
b-26,UB violate strict aliasing->unaligned access,5(gcc) 1(llvm),gcc,99207,2021,2006,crash,No-UB assumption,,,,
b-26,UB violate strict aliasing->unaligned access,5(gcc) 1(llvm),gcc,82820,2017,2006,crash,No-UB assumption,,,,
b-26,UB violate strict aliasing->unaligned access,5(gcc) 1(llvm),gcc,53016,2012,2006,crash,No-UB assumption,,,,
b-26,UB violate strict aliasing->unaligned access,5(gcc) 1(llvm),gcc,85616,2018,2006,crash,No-UB assumption,,,,
b-27,UB four byte-wise unaligned strcpy->OOB,1(gcc),gcc,43774,2010,2010,crash,No-UB assumption,,new,,
l-47,UB unaligned access,1(linux) 5(gcc),linux,778aaefb8e864fc61f850539ea479554dd4caea1,2021,2005,crash,No-UB assumption,,,,
l-47,UB unaligned access,1(linux) 5(gcc),gcc,60918,2014,2005,crash,No-UB assumption,,,,
l-47,UB unaligned access,1(linux) 5(gcc),gcc,52492,2012,2005,crash,No-UB assumption,,,,
l-47,UB unaligned access,1(linux) 5(gcc),gcc,22447,2005,2005,crash,No-UB assumption,,,,
l-47,UB unaligned access,1(linux) 5(gcc),gcc,116856,2024,2005,crash,No-UB assumption,,,,
l-47,UB unaligned access,1(linux) 5(gcc),gcc,114080,2024,2005,crash,No-UB assumption,,,,
b-14,UB puts(null),2(gcc),gcc,15574,2004,2004,crash,No-UB assumption,,,,
b-14,UB puts(null),2(gcc),gcc,15685,2004,2004,crash,No-UB assumption,,,,
b-15,UB user define built-in,1(linux) 2(gcc) 1(llvm),llvm,10167 (original 9795),2011,2006,hang(infinite loop),No-UB assumption,,bugzilla,clang,invalid
b-15,UB user define built-in,1(linux) 2(gcc) 1(llvm),gcc,63393,2011,2006,hang(infinite loop),No-UB assumption,,,,
b-15,UB user define built-in,1(linux) 2(gcc) 1(llvm),gcc,29094,2006,2006,hang(infinite loop),No-UB assumption,,,,
b-15,UB user define built-in,1(linux) 2(gcc) 1(llvm),linux,6b6f71484bf4fbe169fdbd401c829d8981365fd2,2022,2006,hang(infinite loop),No-UB assumption,,,,
l-46,UB race and reorder,3(linux),linux,16f5e707d6f6f7644ff07e583b8f18c3dcc5499f,2020,2017,crash,No-UB assumption,,,,
l-46,UB race and reorder,3(linux),linux,efad4240da949fc3249015065b95d708b72ae670,2020,2017,any possibility,No-UB assumption,,,,
l-46,UB race and reorder,3(linux),linux,4a072c71f49b0a0e495ea13423bdb850da73c58c,2017,2017,hang,No-UB assumption,,,,
l-30,UB concurrency access to global between 2 func call (which contains access to same global),2(linux),linux,45a94d7cd45ed991914011919e7d40eb6d2546d1,2009,2009,crash,No-UB assumption,,,,
l-30,UB concurrency access to global between 2 func call (which contains access to same global),2(linux),linux,1186e4e904839955e5d2be94f50e0a363cb5651b,2021,2009,crash,No-UB assumption,,,,
b-28,UB local addr,1(gcc),gcc,48623,2011,2011,crash,No-UB assumption,,new,,
b-29,UB ptr before object,1(llvm),llvm,61112,2023,2023,any possibility,No-UB assumption,,new,,
b-30,UB merge causing unaligned store,1(gcc),gcc,106635,2022,2022,crash,No-UB assumption,,new,,
l-48,DB reorder(bpf),1(linux),linux,0f20615d64ee2ad5e2a133a812382d0c4071589b,2021,2021,crash,Default Behavior,,,,
l-20,DB invention of unaligned mem access,6(linux) 4(gcc),linux,86c38a31aa7f2dd6e74a262710bf8ebf7455acc5,2010,2005,crash,Default Behavior,,,,
l-20,DB invention of unaligned mem access,6(linux) 4(gcc),linux,5bd2315bd2e480cb1462a01d44186d3a767b19ba,2023,2005,crash,Default Behavior,,,,
l-20,DB invention of unaligned mem access,6(linux) 4(gcc),linux,24d9609b3cd2e7ddf7b9417a96c5b474086a38e2,2023,2005,crash,Default Behavior,,,,
l-20,DB invention of unaligned mem access,6(linux) 4(gcc),linux,bf44c56a99774339f73e665cfbff429dd537914e,2023,2005,crash,Default Behavior,,,,
l-20,DB invention of unaligned mem access,6(linux) 4(gcc),linux,218387e6cf49d0a81d1428dac91f827a13d2cd4b,2023,2005,crash,Default Behavior,,,,
l-20,DB invention of unaligned mem access,6(linux) 4(gcc),linux,f5bfa159d20c9a25c44a7f848c70d4156f78ba64,2012,2005,memory corruption,Default Behavior,,,,
l-20,DB invention of unaligned mem access,6(linux) 4(gcc),gcc,67246,2015,2005,crash,Default Behavior,,,,
l-20,DB invention of unaligned mem access,6(linux) 4(gcc),gcc,57862,2013,2005,crash,Default Behavior,,,,
l-20,DB invention of unaligned mem access,6(linux) 4(gcc),gcc,45819,2010,2005,crash,Default Behavior,,,,
l-20,DB invention of unaligned mem access,6(linux) 4(gcc),gcc,21387,2005,2005,crash,Default Behavior,,,,
l-44,DB byte-wide->word-wide,4(linux),linux,8c031ba63f8f2a9efc471cb45b2ff18271556544,2017,2006,crash,Default Behavior,,,,
l-44,DB byte-wide->word-wide,4(linux),linux,c42813b71a06a2ff4a155aa87ac609feeab76cf3,2021,2006,crash,Default Behavior,,,,
l-44,DB byte-wide->word-wide,4(linux),linux,48bdf072c3f1f8f739f76d19c74f4c79605cac46,2011,2006,crash,Default Behavior,,,,
l-44,DB byte-wide->word-wide,4(linux),linux,37c22a77212c13201497378cc8becc5c95d0f3f5,2006,2006,any possibility,Default Behavior,,,,
l-15,DB transfer mem load to reg load,1(linux),linux,455bd4c430b0c0a361f38e8658a0d6cb469942b5,2013,2013,crash,Default Behavior,,,,
l-50,DB bool promotion (bpf),1(linux),linux,63d78b7e8ca2d0eb8c687a355fa19d01b6fcc723,2023,2023,crash,Default Behavior,,new,,
l-51,DB type demotion,1(linux),linux,3751c3d34cd5a750c86d1c8eaf217d8faf7f9325,2021,2021,crash,Default Behavior,,new,,
b-7,DB int promotion,2(gcc),gcc,87060,2018,2018,any possibility,Default Behavior,,,,
b-7,DB int promotion,2(gcc),gcc,87131,2018,2018,any possibility,Default Behavior,,,,
l-52,inline to caller,1(linux),linux,50f9a76ef127367847cf62999c79304e48018cfa,2022,2022,any possibility,Default Behavior,,new,,
l-19,conditional load->non-conditional load,1(linux),linux,69102311a57d1fd65cdc4002c55c5d551c799044,2014,2014,crash,Default Behavior,,,,
l-53,reorder evaluation order with side effect,1(linux),linux,3066820034b5dd4e89bd74a7739c51c2d6f5e554,2021,2021,crash,Default Behavior,,new,,
b-31,time inst reorder,2(gcc),gcc,50314,2011,2008,any possibility,Default Behavior,,new,,
b-31,time inst reorder,2(gcc),gcc,34736,2008,2008,any possibility,Default Behavior,,new,,
l-38,reorder CPU check,15(linux),linux,b407460ee99033503993ac7437d593451fcdfe44,2023,2005,crash,Default Behavior,,,,
l-38,reorder CPU check,15(linux),linux,859b7a0e89120505c304d7afbbe90325abaa0a6b,2015,2005,hang,Default Behavior,,,,
l-38,reorder CPU check,15(linux),linux,a99632014631409483a481a6a0d77d09ded47239,2011,2005,hang,Default Behavior,,,,
l-38,reorder CPU check,15(linux),linux,7644143cd6f7e029f3a8ea64f5fb0ab33ec39f72,2005,2005,hang,Default Behavior,,,,
l-38,reorder CPU check,15(linux),linux,68025adfc13e6cd15eebe2293f77659f47daf13b,2025,2005,crash,Default Behavior,,,,
l-38,reorder CPU check,15(linux),linux,a16f88964c647103dad7743a484b216d488a6352,2025,2005,hang,Default Behavior,,,,
l-38,reorder CPU check,15(linux),linux,89a906dfa8c3b21b3e5360f73c49234ac1eb885b,2024,2005,crash,Default Behavior,,,,
l-38,reorder CPU check,15(linux),linux,9d2c7203ffdb846399b82b0660563c89e918c751,2023,2005,crash,Default Behavior,,,,
l-38,reorder CPU check,15(linux),linux,a7aae769ca626819a7f9f078ebdc69a8a1b00c81,2021,2005,crash,Default Behavior,,,,
l-38,reorder CPU check,15(linux),linux,11dc13224c975efcec96647a4768a6f1bb7a19a8,2018,2005,hang,Default Behavior,,,,
l-38,reorder CPU check,15(linux),linux,d60ece5f010043422c5fbc3609714c4420c7c9bf,2012,2005,hang,Default Behavior,,,,
l-38,reorder CPU check,15(linux),linux,aedc256dd032fe9b0691fdd0f67b5e65e3e7bc0d,2012,2005,hang,Default Behavior,,,,
l-38,reorder CPU check,15(linux),linux,d25c1ba2fa1a9a1a4f68bef8edb0efefd79f0012,2007,2005,hang,Default Behavior,,,,
l-38,reorder CPU check,15(linux),linux,53b173327d283b9bdbfb0c3b6de6f0eb197819d6,2006,2005,hang,Default Behavior,,,,
l-38,reorder CPU check,15(linux),linux,b7cf07586c40f926063d4d09f7de28ff82f62b2a,2024,2005,crash,Default Behavior,,,,
b-19,env: inst type,1(gcc),gcc,80999,2017,2017,crash,Environment assumption,,,,
l-43,env: built in replace,1(linux),linux,ede6b6bc43c68ef030f88235e91e85939b8bdb49,2021,2021,crash,Environment assumption,,,,
l-54,env: memset in stream mode,1(linux),linux,d6da04b6fbabf4b464bfe29e34ff10c62024d1e4,2023,2023,crash,Environment assumption,,new,,
l-23,env: transfer memcpy to unaligned ldx,2(linux),linux,04ef0f1a0169a14b8e653af1178524ab4390133f,2016,2011,crash,Environment assumption,,,,
l-23,env: transfer memcpy to unaligned ldx,2(linux),linux,49d468f64d59016030c2835a423833e7b45ccce5,2011,2011,crash,Environment assumption,,,,
l-18,env: varient->memcpy->unaligned ldx,1(linux),linux,1bd46782d08b01b73df0085b51ea1021b19b44fd,2015,2015,crash,Environment assumption,,,,
l-41,env: implicit change between 2 same check (CSE),2(linux),linux,eab6870fee877258122a042bfd99ee7908c40280,2018,2008,any possibility,Environment assumption,,,,
l-41,env: implicit change between 2 same check (CSE),2(linux),linux,94f6bac1058fd59a8bd472d18c4b77f220d930b0,2008,2008,any possibility,Environment assumption,,,,
l-35,env: implicit read between 2 stores,1(linux),linux,51bcf092917bfaa88d762879d0bbfe7619e8c16c,2007,2007,crash,Environment assumption,,,,
l-55,env: eliminate memcpy on BPF global,1(linux),linux,49705c4ab324654a7038fc843255140730477e04,2022,2022,crash,Environment assumption,,new,,
l-49,store tearing->race,4(linux),linux,f2c3037811381f9149243828c7eb9a1631df9f9c,2023,2021,may crash,Environment assumption,,,,
l-49,store tearing->race,4(linux),linux,c1c0ce31b2420d5c173228a2132a492ede03d81f,2023,2021,may crash,Environment assumption,,,,
l-49,store tearing->race,4(linux),linux,49f683b41f28918df3e51ddc0d928cb2e934ccdb,2024,2021,may crash,Environment assumption,,,,
l-49,store tearing->race,4(linux),linux,9c14791748708d87c4d02ba74eb7e281e141d6e4,2021,2021,may crash,Environment assumption,,,,
l-3,eliminate local variable,1(linux),linux,20b50d79974ea3192e8c3ab7faf4e536e5f14d8f,2018,2018,crash,Environment assumption,,,,
l-21,break atomicity(load tearing),3(linux),linux,1a5a9906d4e8d1976b701f889d8f35d54b928f25,2012,2012,crash,Environment assumption,,,,
l-21,break atomicity(load tearing),3(linux),linux,26c191788f18129af0eb32a358cdaea0c7479626,2012,2012,crash,Environment assumption,,,,
l-21,break atomicity(load tearing),3(linux),linux,9bc4f28af75a91aea0ae383f50b0a430c4509303,2018,2012,crash,Environment assumption,,,,
l-4,data race,3(linux),linux,e91467ecd1ef381377fd327c0ded922835ec52ab,2006,2006,crash,Environment assumption,,,,
l-4,data race,3(linux),linux,b6a9b7f6b1f21735a7456d534dc0e68e61359d2c,2013,2006,crash,Environment assumption,,,,
l-4,data race,3(linux),linux,3245d6acab981a2388ffb877c7ecc97e763c59d4,2015,2006,hang,Environment assumption,,,,
l-4a,double fetch,3(linux),linux,8135cf8b092723dbfcc611fe6fdcb3a36c9951c5,2015,2015,crash,Environment assumption,,,,
l-4a,double fetch,3(linux),linux,2d57b4f142e0b03e854612b8e28978935414bced,2020,2015,crash,Environment assumption,,,,
l-4a,double fetch,3(linux),linux,e430d802d6a3aaf61bd3ed03d9404888a29b9bf9,2019,2015,any possibility,Environment assumption,,,,
b-21,DSE-memset,1(gcc) 1(llvm),gcc,89201,2019,2005,info leak,,,,,
b-21,DSE-memset,1(gcc) 1(llvm),llvm,15867 (original 15495),2013,2005,info leak,,,,,
l-9,DSE-memset,15(linux),linux,458c0480dcb338d7b72e89b2e88a622965adcea4,2020,2005,info leak,,,,,
l-9,DSE-memset,15(linux),linux,7a4295f6c9d54e082474667e552a227606b4a085,2020,2005,info leak,,,,,
l-9,DSE-memset,15(linux),linux,1762818f25f3f99c5083caa13d69e5e5aa2e4b6f,2020,2005,info leak,,,,,
l-9,DSE-memset,15(linux),linux,8982ae527fbef170ef298650c15d55a9ccd33973,2020,2005,info leak,,,,,
l-9,DSE-memset,15(linux),linux,fb31690fbac6f4055c1765522752e4746759f5de,2005,2005,info leak,,,,,
l-9,DSE-memset,15(linux),linux,f3751ad0116fb6881f2c3c957d66a9327f69cefb,2020,2005,info leak,,,,,
l-9,DSE-memset,15(linux),linux,c55d240003ae253d3057dcf93510c9bd64bb7a09,2016,2005,info leak,,,,,
l-9,DSE-memset,15(linux),linux,d4c5efdb97773f59a2b711754ca0953f24516739,2014,2005,info leak,,,,,
l-9,DSE-memset,15(linux),linux,7185ad2672a7d50bc384de0e38d90b75d99f3d82,2014,2005,info leak,,,,,
l-9,DSE-memset,15(linux),linux,3347acc6fcd4ee71ad18a9ff9d9dac176b517329,2020,2005,info leak,,,,,
l-9,DSE-memset,15(linux),linux,d4d7ccc834fe2401084e01fb043ad70ac410b19d,2016,2005,info leak,,,,,
l-9,DSE-memset,15(linux),linux,421d82f5b3e75f94e31875e37d45cdf6a557c120,2014,2005,info leak,,,,,
l-9,DSE-memset,15(linux),linux,0b053c9518292705736329a8fe20ef4686ffc8e9,2015,2005,info leak,,,,,
l-9,DSE-memset,15(linux),linux,7829fb09a2b4268b30dd9bc782fa5ebee278b137,2015,2005,info leak,,,,,
l-9,DSE-memset,15(linux),linux,6ae51ffe5e768d9e25a7f4298e2e7a058472bcc3,2021,2005,info leak,,,,,
l-11,padding copied to user space,9(linux),linux,8e326285924cd13d9d94edc209440ef5b6f85085,2020,2009,info leak,,,,,
l-11,padding copied to user space,9(linux),linux,543e8669ed9bfb30545fd52bc0e047ca4df7fb31,2020,2009,info leak,,,,,
l-11,padding copied to user space,9(linux),linux,790198f74c9d1b46b6a89504361b1a844670d050,2012,2009,info leak,,,,,
l-11,padding copied to user space,9(linux),linux,46538818023e8ea94f656acfa1e38297e2df20e2,2009,2009,info leak,,,,,
l-11,padding copied to user space,9(linux),linux,8a70cefa3037d62e7c0b6068a66675def1a330c9,2015,2009,info leak,,,,,
l-11,padding copied to user space,9(linux),linux,aeb1f39d814b2e21e5e5706a48834bfd553d0059,2017,2009,info leak,,,,,
l-11,padding copied to user space,9(linux),linux,bcbfbd8ec21096027f1ee13ce6c185e8175166f6,2018,2009,info leak,,,,,
l-11,padding copied to user space,9(linux),linux,f729a1b0f8df7091cea3729fc0e414f5326e1163,2019,2009,info leak,,,,,
l-11,padding copied to user space,9(linux),linux,d3d19d6fc5736a798b118971935ce274f7deaa82,2020,2009,info leak,,,bugzilla,clang,invalid
l-29,part of union not init,1(linux) 1(gcc),gcc,93270,2020,2014,info leak,,,,,
l-29,part of union not init,1(linux) 1(gcc),linux,a45e92a599e77ee6a850eabdd0141633fde03915,2014,2014,info leak,,,,,
b-22,part of union not init,1(llvm),llvm,25072 (original 24698),2015,2014,info leak,,,,,
l-6,time side channel,6(linux),linux,6bf37e5aa90f18baf5acf4874bca505dd667c37f,2013,2013,info leak,,,,,
l-6,time side channel,6(linux),linux,fe8c8a126806fea4465c43d62a1f9d273a572bf5,2013,2013,info leak,,,,,
l-6,time side channel,6(linux),linux,613317bd212c585c20796c10afe5daaa95d4b0a1,2016,2013,info leak,,,,,
l-6,time side channel,6(linux),linux,538a5a072e6ef04377b180ee9b3ce5bae0a85da4,2019,2013,info leak,,,,,
l-6,time side channel,6(linux),linux,5997a245c77b754fb8ef807043066fcfde64858c,2019,2013,info leak,,,,,
l-6,time side channel,6(linux),linux,2bdd713b92a9cade239d3c7d15205a09f556624d,2017,2013,info leak,,,,,
l-37,noop loop for time order(concurrency),2(linux),linux,8690ba446defe2e2b81803756c099d2943dfd5fd,2007,2007,crash,,,,,
l-37,noop loop for time order(concurrency),2(linux),linux,71f0bdcab69ab36b1e939d36063aaf6c4a164ed3,2008,2007,crash,,,,,
l-25,switch jump table,2(linux),linux,a9d57ef15cbe327fe54416dd194ee0ea66ae53a4,2019,2018,info leak,,,,,
l-25,switch jump table,2(linux),linux,284a3ac4a96c619af269dfbdef5431a9a2a34d3b,2024,2018,info leak,,,,,
l-56,speculative code motion,1(linux),linux,03d4d13fab3fa75fbcf09bced5e3c8acf1622969,2020,2020,info leak,Default Behavior,,new,,
